Customer ID,Item Code,Source,Order Date,Item Description,Category,price,Quantity
0007236714,R2671407,REGULAR,6/22/2007  12:00:00 AM,"14K YG ENAMEL LADYBUG LINK 7"" OR 8"" BRACELET 8",J,249.96,1
0007236714,R2414607,REGULAR,5/5/2007  12:00:00 AM,WOLFGANG PUCK COOKBOOK ADVENTURES,K,13.50,3
0007236714,R2414607,REGULAR,5/5/2007  12:00:00 AM,WOLFGANG PUCK COOKBOOK LIVE/LOVE/EAT,K,13.50,3
0007236714,R2414607,REGULAR,5/5/2007  12:00:00 AM,WOLFGANG PUCK COOKBOOK PIZZA/PASTA/MORE,K,13.50,3
0007236714,X5947344,WEB,7/22/2007  12:00:00 AM,S.S. GEMSTONE RING TURQUOISE 7,B,29.99,11
0007236714,X5947344,WEB,7/22/2007  12:00:00 AM,"STAFFORD CERAMIC PEELER, PARER AND SLICER SET",K,29.86,11
0007236714,X5947344,WEB,7/22/2007  12:00:00 AM,PANCAKE PUFFS,K,34.95,11
0007236714,X5947344,WEB,7/22/2007  12:00:00 AM,MICROPLANE ZESTER/GRATER SYSTEM,K,39.96,11
0007236714,X5947344,WEB,7/22/2007  12:00:00 AM,MICROPLANE ZESTER/GRATER SYSTEM,K,39.96,11
0007236714,X5947344,WEB,7/22/2007  12:00:00 AM,OVAL TURQUOISE CABOCHON EARRINGS,B,59.99,11
0007236714,X5947344,WEB,7/22/2007  12:00:00 AM,UV COVER FOR SPA2GO,M,96.98,11
0007236714,X5947344,WEB,7/22/2007  12:00:00 AM,COMBO CARE KIT FOR SPA2GO,M,124.98,11
0007236714,X5947344,WEB,7/22/2007  12:00:00 AM,SPA2GO INFFLATABLE PORTABLE WHIRLPOOL SPA,M,769.98,11
0007236714,X5947344,WEB,7/22/2007  12:00:00 AM,VACUVIN INSTANT MARINATOR W/PINEAPPLE SLICER,K,45.00,11
0007236714,X5947344,WEB,7/22/2007  12:00:00 AM,"STAFFORD CERAMIC PEELER, PARER AND SLICER SET",K,29.86,11
0007236714,R2414588,REGULAR,5/5/2007  12:00:00 AM,WOLFGANG PUCK BISTRO CHEF KNIFE SET,K,29.96,3
0007236714,R2414588,REGULAR,5/5/2007  12:00:00 AM,WOLFGANG PUCK BISTRO DUAL CONVECTION OVEN W/DRAWER,K,177.75,3
0007236714,R2414588,REGULAR,5/5/2007  12:00:00 AM,WOLFGANG PUCK BISTRO DUAL CONVECTION OVEN W/DRAWER,K,177.75,3
0007236714,X5851492,WEB,6/2/2007  12:00:00 AM,KING GEORGE V LARGE CENT COLLECTION 1911-1920,H,39.95,2
0007236714,X5851492,WEB,6/2/2007  12:00:00 AM,500PC. HEIRLOOM COLLECTION IN ALBUM,H,"1,695.00",2
0007236714,R2398800,REGULAR,5/2/2007  12:00:00 AM,14K CHOICE OF COLOUR GOLD DIAMOND RING YELLOW GOLD,J,698.96,1
0007236714,R2476327,REGULAR,5/16/2007  12:00:00 AM,S.S. MOTHER OF PEARL MOSAIC HEART PENDANT WHITE,B,57.49,1
0007236714,R2441965,REGULAR,5/10/2007  12:00:00 AM,S.S. & 14K GOLD GARNET DAISY MEDITATION RING 7,B,169.99,1
0007236714,R2421140,REGULAR,5/6/2007  12:00:00 AM,WOLFGANG PUCK BISTRO PANINI MAKER W/EXTRA PLATES,K,119.86,1
0007236714,R2748902,REGULAR,7/7/2007  12:00:00 AM,22K YG SWIRL PATTERN OMEGA BACK EARRINGS,J,289.89,1
0007236714,R2822138,REGULAR,7/22/2007  12:00:00 AM,14K YG GARNET & DIAMOND RING 7,J,299.96,1
0007236714,R2960328,REGULAR,8/17/2007  12:00:00 AM,"14K YG, WG OR PG ROPE 18"", 22"" OR 30"" CHAIN PINK G",J,199.99,1
0007236714,R2960354,REGULAR,8/17/2007  12:00:00 AM,"14K MYSTICAL FUSION PENDANT W/ 18"" CHAIN",J,219.99,1
0007236714,R2954735,REGULAR,8/16/2007  12:00:00 AM,PETER THOMAS ROTH UN-WRINKLE EYE,C,125.00,4
0007236714,R2954735,REGULAR,8/16/2007  12:00:00 AM,"S.S. GEMSTONE PENDANT, EARRINGS & RING SET WHITE T",B,59.99,4
0007236714,R2954735,REGULAR,8/16/2007  12:00:00 AM,MAGIC BULLET TO GO STORAGE BAG,K,19.99,4
0007236714,R2954735,REGULAR,8/16/2007  12:00:00 AM,MAGIC BULLET TO GO CORDLESS 19pc SYSTEM,K,69.99,4
0007236714,R2960356,REGULAR,8/17/2007  12:00:00 AM,"14K YG, WG OR PG ROPE 18"", 22"" OR 30"" CHAIN PINK G",J,199.99,1
0007236714,X5959832,WEB,7/28/2007  12:00:00 AM,HANDY BULB SET OF 4,K,24.74,2
0007236714,X5959832,WEB,7/28/2007  12:00:00 AM,ELIZABETH GRANT 8PC ANNIVERSARY SERUM COLLECTION,C,59.96,2
